date,initial claim
2016-07-30,219202
2016-08-06,231542
2016-08-13,219570
2016-08-20,217011
2016-08-27,215688
2016-09-03,217715
2016-09-10,193291
2016-09-17,205649
2016-09-24,198455
2016-10-01,200456
2016-10-08,238581
2016-10-15,233633
2016-10-22,237314
2016-10-29,245751
2016-11-05,258608
2016-11-12,223770
2016-11-19,287794
2016-11-26,249774
2016-12-03,351580
2016-12-10,305268
2016-12-17,315068
2016-12-24,343213
2016-12-31,350561
2017-01-07,414742
2017-01-14,352799
2017-01-21,284030
2017-01-28,280983
2017-02-04,259713
2017-02-11,245886
2017-02-18,239322
2017-02-25,212829
2017-03-04,243959
2017-03-11,222227
2017-03-18,224693
2017-03-25,228269
2017-04-01,208347
2017-04-08,239823
2017-04-15,225864
2017-04-22,241611
2017-04-29,210955
2017-05-06,215040
2017-05-13,206905
2017-05-20,210544
2017-05-27,232138
2017-06-03,212696
2017-06-10,234652
2017-06-17,228883
2017-06-24,239635
2017-07-01,252886
2017-07-08,284329
2017-07-15,257763
2017-07-22,220455
2017-07-29,198776
2017-08-05,211924
2017-08-12,198280
2017-08-19,195130
2017-08-26,196227
2017-09-02,250627
2017-09-09,211923
2017-09-16,212313
2017-09-23,212987
2017-09-30,204180
2017-10-07,229241
2017-10-14,205592
2017-10-21,216004
2017-10-28,215977
2017-11-04,242111
2017-11-11,236654
2017-11-18,275004
2017-11-25,224851
2017-12-02,326052
2017-12-09,282055
2017-12-16,287479
2017-12-23,325180
2017-12-30,351500
2018-01-06,403930
2018-01-13,354708
2018-01-20,260432
2018-01-27,268197
2018-02-03,243422
2018-02-10,233252
2018-02-17,212609
2018-02-24,196294
2018-03-03,225893
2018-03-10,205185
2018-03-17,198649
2018-03-24,195433
2018-03-31,201057
2018-04-07,231759
2018-04-14,226090
2018-04-21,200139
2018-04-28,186451
2018-05-05,190262
2018-05-12,195214
2018-05-19,207043
2018-05-26,202846
2018-06-02,191523
2018-06-09,217289
2018-06-16,206023
2018-06-23,222766
2018-06-30,231539
2018-07-07,264869
2018-07-14,232238
2018-07-21,201288
2018-07-28,179880
2018-08-04,185174
2018-08-11,180038
2018-08-18,173331
2018-08-25,175745
2018-09-01,173607
2018-09-08,162640
2018-09-15,173624
2018-09-22,172930
2018-09-29,171816
2018-10-06,193936
2018-10-13,190501
2018-10-20,198733
2018-10-27,198530
2018-11-03,214814
2018-11-10,235981
2018-11-17,226576
2018-11-24,218658
2018-12-01,317936
2018-12-08,261525
2018-12-15,255195
2018-12-22,291625
2018-12-29,327501
2019-01-05,350949
2019-01-12,344479
2019-01-19,269757
2019-01-26,250821
2019-02-02,254336
2019-02-09,242817
2019-02-16,210718
2019-02-23,203091
2019-03-02,220583
2019-03-09,209362
2019-03-16,194382
2019-03-23,190075
2019-03-30,183801
2019-04-06,196103
2019-04-13,196397
2019-04-20,211794
2019-04-27,204787
2019-05-04,204033
2019-05-11,188264
2019-05-18,191931
2019-05-25,199094
2019-06-01,189577
2019-06-08,220186
2019-06-15,205919
2019-06-22,225819
2019-06-29,224565
2019-07-06,231993
2019-07-13,243619
